Data Medicao;TEMPERATURA MEDIA DIARIA
2022-10-01;16
2022-10-02;15
2022-10-03;15
2022-10-04;16
2022-10-05;16
2022-10-06;18
2022-10-07;20
2022-10-08;17
2022-10-09;21
2022-10-10;18
2022-10-11;22
2022-10-12;21
2022-10-13;21
2022-10-14;18
2022-10-15;18
2022-10-16;17
2022-10-17;18
2022-10-18;19
2022-10-19;18
2022-10-20;20
2022-10-21;21
2022-10-22;19
2022-10-23;16
2022-10-24;17
2022-10-25;16
2022-10-26;17
2022-10-27;20
2022-10-28;21
2022-10-29;20
2022-10-30;22
2022-10-31;22
2022-11-01;17
2022-11-02;12
2022-11-03;11
2022-11-04;11
2022-11-05;13
2022-11-06;13
2022-11-07;13
2022-11-08;14
2022-11-09;17
2022-11-10;18
2022-11-11;19
2022-11-12;19
2022-11-13;19
2022-11-14;22
2022-11-15;20
2022-11-16;16
2022-11-17;15
2022-11-18;15
2022-11-19;15
2022-11-20;17
2022-11-21;19
2022-11-22;20
2022-11-23;21
2022-11-24;17
2022-11-25;16
2022-11-26;16
2022-11-27;18
2022-11-28;18
2022-11-29;18
2022-11-30;20
2022-12-01;20
2022-12-02;21
2022-12-03;19
2022-12-04;20
2022-12-05;20
2022-12-06;19
2022-12-07;18
2022-12-08;17
2022-12-09;19
2022-12-10;20
2022-12-11;21
2022-12-12;20
2022-12-13;19
2022-12-14;14
2022-12-15;16
2022-12-16;18
2022-12-17;17
2022-12-18;17
2022-12-19;16
2022-12-20;16
2022-12-21;17
2022-12-22;15
2022-12-23;15
2022-12-24;17
2022-12-25;19
2022-12-26;19
2022-12-27;20
2022-12-28;21
2022-12-29;21
2022-12-30;18
2022-12-31;19
2023-01-01;19
2023-01-02;19
2023-01-03;21
2023-01-04;21
2023-01-05;19
2023-01-06;17
2023-01-07;15
2023-01-08;17
2023-01-09;18
2023-01-10;19
2023-01-11;20
2023-01-12;22
2023-01-13;21
2023-01-14;23
2023-01-15;23
2023-01-16;23
2023-01-17;20
2023-01-18;20
2023-01-19;20
2023-01-20;19
2023-01-21;18
2023-01-22;19
2023-01-23;21
2023-01-24;20;
2023-01-25;18
2023-01-26;17
2023-01-27;19
2023-01-28;21
2023-01-29;21
2023-01-30;20
2023-01-31;21
2023-02-01;21
2023-02-02;21
2023-02-03;22
2023-02-04;24
2023-02-05;22
2023-02-06;21
2023-02-07;20
2023-02-08;18
2023-02-09;20
2023-02-10;21
2023-02-11;21
2023-02-12;20
2023-02-13;21
2023-02-14;20
2023-02-15;21
2023-02-16;21
2023-02-17;23
2023-02-18;20
2023-02-19;20
2023-02-20;20
2023-02-21;22
2023-02-22;20
2023-02-23;20
2023-02-24;21
2023-02-25;23
2023-02-26;24
2023-02-27;21
2023-02-28;21
2023-03-01;21
2023-03-02;21
2023-03-03;22
2023-03-04;23
2023-03-05;21
2023-03-06;21
2023-03-07;22
2023-03-08;22
2023-03-09;22
2023-03-10;21
2023-03-11;20
2023-03-12;19
2023-03-13;19
2023-03-14;19
2023-03-15;19
2023-03-16;19
2023-03-17;18
2023-03-18;19
2023-03-19;20
2023-03-20;21
2023-03-21;21
2023-03-22;19
2023-03-23;19
2023-03-24;20
2023-03-25;19
2023-03-26;21
2023-03-27;19
2023-03-28;18
2023-03-29;20
2023-03-30;21
2023-03-31;20
2023-04-01;19
2023-04-02;17
2023-04-03;17
2023-04-04;17
2023-04-05;17
2023-04-06;18
2023-04-07;19
2023-04-08;18
2023-04-09;16
2023-04-10;16
2023-04-11;16
2023-04-12;18
